2.6237796545028687
2.6237796545028687,1.9829194307327271
2.6237796545028687,1.9829194307327271,1.8827974319458007
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842,1.8576292991638184
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842,1.8576292991638184,1.9425842046737671
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842,1.8576292991638184,1.9425842046737671,1.9014080286026
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842,1.8576292991638184,1.9425842046737671,1.9014080286026,1.9672462701797486
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842,1.8576292991638184,1.9425842046737671,1.9014080286026,1.9672462701797486,1.8456425428390504
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842,1.8576292991638184,1.9425842046737671,1.9014080286026,1.9672462701797486,1.8456425428390504,1.8880144357681274
2.6237796545028687,1.9829194307327271,1.8827974319458007,1.8299395799636842,1.8576292991638184,1.9425842046737671,1.9014080286026,1.9672462701797486,1.8456425428390504,1.8880144357681274,1.848006796836853
2.8087952375411986
2.8087952375411986,2.1604318857192992
2.8087952375411986,2.1604318857192992,1.9862614154815674
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784,1.8206844091415406
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784,1.8206844091415406,1.7995333909988402
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784,1.8206844091415406,1.7995333909988402,1.9076677560806274
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784,1.8206844091415406,1.7995333909988402,1.9076677560806274,1.816714882850647
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784,1.8206844091415406,1.7995333909988402,1.9076677560806274,1.816714882850647,1.8841291427612306
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784,1.8206844091415406,1.7995333909988402,1.9076677560806274,1.816714882850647,1.8841291427612306,1.8170767784118653
2.8087952375411986,2.1604318857192992,1.9862614154815674,1.8368481397628784,1.8206844091415406,1.7995333909988402,1.9076677560806274,1.816714882850647,1.8841291427612306,1.8170767784118653,1.8538549661636352
